strategija,avtor,zbir,id zbira
Purrely,ThomasGraduated2020,66b223caa1b39638477cb966.text,66b223caa1b39638477cb966
Mannadium,Ayubus,66b23696050bc5c99ee6d6fc.text,66b23696050bc5c99ee6d6fc
Floowandereeze,Crazybarkss,66b2422148c1fde521d5e84e.text,66b2422148c1fde521d5e84e
Labrynth,kenn¥,66b24259a1b3963847804efd.text,66b24259a1b3963847804efd
Branded,NightPrimrose,66b25557863a43d44519cc35.text,66b25557863a43d44519cc35
Ogdoadic,Drew,66b26833863a43d4451bf25d.text,66b26833863a43d4451bf25d
Tearlaments,Heavensfeelubw,66b2b41abbc3b0fc02e88a79.text,66b2b41abbc3b0fc02e88a79
Yubel,Zalda,66b2d2c24ad51c22a52ccc38.text,66b2d2c24ad51c22a52ccc38
Ninja,Slayton,66b2d74a8d6cbb695c1cbdd8.text,66b2d74a8d6cbb695c1cbdd8
Naturia,Spratt,66b2ff10cfa573427add795c.text,66b2ff10cfa573427add795c
Exosister,The only Mes,66b3122845a3a842d65ba065.text,66b3122845a3a842d65ba065
Branded,OedipaMaas,66b3150c45a3a842d65bf840.text,66b3150c45a3a842d65bf840
Adventure Phantom Knights,Cipher Ghost,66b379de4c13ef0a280b58e4.text,66b379de4c13ef0a280b58e4
Infernoble Knight,adolfojpereira,66b37f57bb4a7ccdaa3d35e1.text,66b37f57bb4a7ccdaa3d35e1
Resonators,Elequinn,66b37f57bb4a7ccdaa3d35e2.text,66b37f57bb4a7ccdaa3d35e2
Chaos,sunnnz,66b382024c13ef0a280c3406.text,66b382024c13ef0a280c3406
Stun,Esquivar,66b390d5a166d85bfc18a654.text,66b390d5a166d85bfc18a654
Rikka,กระรอกจะกินแมว♡,66b3a5aa853100307d9c52a5.text,66b3a5aa853100307d9c52a5
Horus,Hidz,66b3ca1a8ade698ca20bc983.text,66b3ca1a8ade698ca20bc983
Branded,Vox,66b3dd268ade698ca20db34d.text,66b3dd268ade698ca20db34d
Tearlaments,terrencegrey,66b41a1a691e67b5f694a6ec.text,66b41a1a691e67b5f694a6ec
Live☆Twin Spright,Saucy Senpai,66b41a1a691e67b5f694a6ed.text,66b41a1a691e67b5f694a6ed
Rescue-ACE,Gargolo,66b41aeb3010167147ff20a9.text,66b41aeb3010167147ff20a9
Adventure Phantom Knights,jamesnintendoturd,66b41aeb3010167147ff20a8.text,66b41aeb3010167147ff20a8
Purrely,UmbraeDraconian,66b41aeb3010167147ff20aa.text,66b41aeb3010167147ff20aa
Time Thief,mikeee,66b41df23010167147ff77cf.text,66b41df23010167147ff77cf
Scareclaw,Heavensfeelubw,66b448bde93c457470f5e9de.text,66b448bde93c457470f5e9de
Synchrons,River,66b4c9da7b9a82ff21c8924c.text,66b4c9da7b9a82ff21c8924c
Voiceless Voice,EXSlayer64,66b4caee850ffe0c91d7b894.text,66b4caee850ffe0c91d7b894
Stun,~大尺度炒面~,66b4cb48850ffe0c91d7d04f.text,66b4cb48850ffe0c91d7d04f
Scareclaw,Astra,66b4cb92850ffe0c91d7e37d.text,66b4cb92850ffe0c91d7e37d
Zoodiac,Buns2,66b4e17a9800445a670272d3.text,66b4e17a9800445a670272d3
Infernoble Knight,lys,66b4f32be5eb5040b9ae4026.text,66b4f32be5eb5040b9ae4026
Resonators,ckw81,66b509ee469a2154b976441c.text,66b509ee469a2154b976441c
Yubel,KosmannewO,66b528cca651346ab5a05111.text,66b528cca651346ab5a05111
Tearlaments,Rasce,66b528cca651346ab5a05112.text,66b528cca651346ab5a05112
Raidraptor,GadgetBug,66b528cca651346ab5a05113.text,66b528cca651346ab5a05113
Gishki,warf555,66b55b95e8d2f3a679709269.text,66b55b95e8d2f3a679709269
Centur-Ion,gaze,66b55b95e8d2f3a67970926a.text,66b55b95e8d2f3a67970926a
Voiceless Voice,Nod3Q,66b55b95e8d2f3a67970926b.text,66b55b95e8d2f3a67970926b
Yubel,!                          Modar,66b57c94d97a3ef024d23081.text,66b57c94d97a3ef024d23081
Fur Hire,Barzarld,66b5b949df4aeb8bb07de2d0.text,66b5b949df4aeb8bb07de2d0
Ice Barrier,Kaley,66b5bae3df4aeb8bb07e0f03.text,66b5bae3df4aeb8bb07e0f03
Floowandereeze,Smitejr,66b62e475e92b8e1e59cade9.text,66b62e475e92b8e1e59cade9
Centur-Ion,Exelicor,66b62e475e92b8e1e59cadea.text,66b62e475e92b8e1e59cadea
Salamangreat,Fer ✰,66b6352b3539b7f96e609c43.text,66b6352b3539b7f96e609c43
Voiceless Voice,Overdue,66b656c725dae00d6cc5ea33.text,66b656c725dae00d6cc5ea33
Naturia,Specter,66b693ec85bde387f0037925.text,66b693ec85bde387f0037925
Chimera,Shaabi37,66b693ec85bde387f0037926.text,66b693ec85bde387f0037926
Stun,Joey,66b693ec85bde387f0037927.text,66b693ec85bde387f0037927
Zefra,Wotan,66b69d6a0f3c7642e3fff8eb.text,66b69d6a0f3c7642e3fff8eb
Branded,Darius,66b69d6a0f3c7642e3fff8ec.text,66b69d6a0f3c7642e3fff8ec
Branded,Akamatsu,66b69e802c6f73f9bd668f6e.text,66b69e802c6f73f9bd668f6e
Snake-Eye Fire King,Izrob,66b69e802c6f73f9bd668f6f.text,66b69e802c6f73f9bd668f6f
Centur-Ion,Spiffy,66b69e802c6f73f9bd668f70.text,66b69e802c6f73f9bd668f70
Tearlaments,yingxingxing,66b6a0b591aca66613e4de9e.text,66b6a0b591aca66613e4de9e
Voiceless Voice,k0k!,66b6a0b591aca66613e4de9f.text,66b6a0b591aca66613e4de9f
Voiceless Voice,LMT,66b6a0b591aca66613e4dea0.text,66b6a0b591aca66613e4dea0
Ice Barrier,usif,66b6a2ae0f3c7642e300aaf1.text,66b6a2ae0f3c7642e300aaf1
Resonators,Kinggladeargaming,66b6e358eb1188c0cf5680d6.text,66b6e358eb1188c0cf5680d6
Snake-Eye Fire King,Bravioli,66b6f0d63651c49c3af73834.text,66b6f0d63651c49c3af73834
Voiceless Voice,SUP1NO,66b6fe205800fb03b8fd1bbf.text,66b6fe205800fb03b8fd1bbf
Lyrilusc Tri-Brigade,Lucas,66b6fe205800fb03b8fd1bc0.text,66b6fe205800fb03b8fd1bc0
Voiceless Voice,Feeb,66b6fe205800fb03b8fd1bc1.text,66b6fe205800fb03b8fd1bc1
Yubel,Yotsuba,66b6fe205800fb03b8fd1bc2.text,66b6fe205800fb03b8fd1bc2
Voiceless Voice,OedipaMaas,66b6fe75342ee6514263912b.text,66b6fe75342ee6514263912b
Snake-Eye Fire King,Rixia,66b700413979b23bf58257c6.text,66b700413979b23bf58257c6
P.U.N.K.,nbee,66b73f490229c13a7c46850a.text,66b73f490229c13a7c46850a
Voiceless Voice,n0p-boy,66b74003af97a2a5bc3724cc.text,66b74003af97a2a5bc3724cc
Centur-Ion,Ollie-Nollie,66b7409faf97a2a5bc3740d5.text,66b7409faf97a2a5bc3740d5
Resonators,Ben Sh0w,66b742dbca219392d65768ad.text,66b742dbca219392d65768ad
Rescue-ACE,be_woke,66b743a60229c13a7c47099e.text,66b743a60229c13a7c47099e
Yubel,J. Prince,66b762b6d4ae49b5cdbdbac6.text,66b762b6d4ae49b5cdbdbac6
Zoodiac,R-1161,66b782c80e45af160c96a4c2.text,66b782c80e45af160c96a4c2
Ice Barrier,jAsh?!,66b783117e6243260e8f22c3.text,66b783117e6243260e8f22c3
Ghoti,VioletAutumn,66b78370e9466355e9655777.text,66b78370e9466355e9655777
Raidraptor,Yukinon,66b7863eb731ca51b5cd58e4.text,66b7863eb731ca51b5cd58e4
Yubel,johmmychu,66b792d4e9466355e96773b5.text,66b792d4e9466355e96773b5
Voiceless Voice,Puitibule da Apúlia,66b792d4e9466355e96773b4.text,66b792d4e9466355e96773b4
Vaylantz,Silver,66b7a1d195429e7524e9a0a6.text,66b7a1d195429e7524e9a0a6
Mathmech,Yohan,66b7b03e2505cc2061b66c9a.text,66b7b03e2505cc2061b66c9a
Voiceless Voice,Atef,66b7b03e2505cc2061b66c9b.text,66b7b03e2505cc2061b66c9b
Vanquish Soul,Hadrian,66b7b642bf9f736c5e492ae4.text,66b7b642bf9f736c5e492ae4
Rescue-ACE,NovaDragon,66b7d76c50e7eeffc672e1a9.text,66b7d76c50e7eeffc672e1a9
Naturia,Outrider,66b7f570ba52ed53566bc8cb.text,66b7f570ba52ed53566bc8cb
Yubel,!YD |WEEBMASTER,66b7fd3aba52ed53566ca74b.text,66b7fd3aba52ed53566ca74b
Kashtira,JokNick,66b80eddb16d937acf9a5474.text,66b80eddb16d937acf9a5474
Ice Barrier,sarah,66b80eddb16d937acf9a5473.text,66b80eddb16d937acf9a5473
Blackwings,Hy9er,66b80eddb16d937acf9a5475.text,66b80eddb16d937acf9a5475
Voiceless Voice,TheHellHamster,66b80eddb16d937acf9a5476.text,66b80eddb16d937acf9a5476
Snake-Eye,Y/A Aztro,66b81c3fc149452798cb51d2.text,66b81c3fc149452798cb51d2
Majespecter,1cY,66b843ff9a036ef038863502.text,66b843ff9a036ef038863502
Yubel,dddlv21,66b843ff9a036ef038863501.text,66b843ff9a036ef038863501
Voiceless Voice,Mu,66b84453f90b8f5a71c701d7.text,66b84453f90b8f5a71c701d7
Floowandereeze,vendanger,66b84453f90b8f5a71c701d6.text,66b84453f90b8f5a71c701d6
Memento,The Mad Walrus,66b84453f90b8f5a71c701d8.text,66b84453f90b8f5a71c701d8
Ghoti,Arcane,66b844edc149452798d005b6.text,66b844edc149452798d005b6
Voiceless Voice,Eric H,66b844edc149452798d005b7.text,66b844edc149452798d005b7
Voiceless Voice,Drew,66b844edc149452798d005b5.text,66b844edc149452798d005b5
Endymion,Shadow Spector,66b84f93898d14315a775e9e.text,66b84f93898d14315a775e9e
Infernoble Knight,Iphonz,66b887bd73fa060515b1763a.text,66b887bd73fa060515b1763a
Stun,Iftarii,66b88800fd57afb29fc3def9.text,66b88800fd57afb29fc3def9
Voiceless Voice,Jan,66b8c1b8eb548af943dc70c7.text,66b8c1b8eb548af943dc70c7
Infernoble Knight,☯Felhyphe☯,66b8facccbddb504f5c071a6.text,66b8facccbddb504f5c071a6
Raidraptor,Lolimancer,66b8fb6015e60b39677bff74.text,66b8fb6015e60b39677bff74
Voiceless Voice,mateja,66b8fb6015e60b39677bff73.text,66b8fb6015e60b39677bff73
Nouvelles,pjim,66b8fddcec73d356627eb5be.text,66b8fddcec73d356627eb5be
Ice Barrier,Kaley,66b8ff936db650ed45e15a11.text,66b8ff936db650ed45e15a11
Voiceless Voice,Vayuu,66b939b68e69bee806890a62.text,66b939b68e69bee806890a62
Mathmech,TruePower,66b9534d32c52fffd6d4ef4e.text,66b9534d32c52fffd6d4ef4e
Voiceless Voice,JediTren,66b979460c13842c9948587f.text,66b979460c13842c9948587f
Yubel,Obito Uchiha,66b98baf0f6cfaea57a11891.text,66b98baf0f6cfaea57a11891
Dark Magician,Harpinger,66b99050d65de24bb3e820f7.text,66b99050d65de24bb3e820f7
Yubel,terrencegrey,66b99050d65de24bb3e820f6.text,66b99050d65de24bb3e820f6
Yubel,MG | Enlightened,66b99050d65de24bb3e820f8.text,66b99050d65de24bb3e820f8
Dinos,zShaNKeRz,66b9a20aabf801e82e759391.text,66b9a20aabf801e82e759391
Labrynth,llRodll,66b9a258abf801e82e75a923.text,66b9a258abf801e82e75a923
Runick Spright,NegiMagus,66b9a2e2b109c04c94ebea86.text,66b9a2e2b109c04c94ebea86
Branded,Salzeder,66b9a37845b455a1ca40f4d4.text,66b9a37845b455a1ca40f4d4
Sky Striker,Asp,66b9a402d8c76a71e03daf7b.text,66b9a402d8c76a71e03daf7b
Traptrix,HoroNoRingo,66b9a451d8c76a71e03dc5e0.text,66b9a451d8c76a71e03dc5e0
Tearlaments,(づ。 ◕‿‿◕。) づ yinpi,66b9a4d3d8c76a71e03de27d.text,66b9a4d3d8c76a71e03de27d
Virtual World,Joakin,66b9a56dabf801e82e762876.text,66b9a56dabf801e82e762876
Traptrix,LockedZzz,66b9db81fef18e7e2ad7f8ec.text,66b9db81fef18e7e2ad7f8ec
Raidraptor,Kazuryo,66b9dbcbfef18e7e2ad80e70.text,66b9dbcbfef18e7e2ad80e70
Vanquish Soul,Shini,66b9dc1cfef18e7e2ad8274a.text,66b9dc1cfef18e7e2ad8274a
Raidraptor,Dark King Yamiferanmi,66ba238558da3fb5e517f4e0.text,66ba238558da3fb5e517f4e0
Voiceless Voice,ugly,66ba2ae5bfd3e5a5d31441a7.text,66ba2ae5bfd3e5a5d31441a7
D/D/D,Taro,66ba2b1f5c078287afdb3801.text,66ba2b1f5c078287afdb3801
Yubel,SlayerDragon,66ba2b1f5c078287afdb3804.text,66ba2b1f5c078287afdb3804
Raidraptor,Yukinon,66ba2b1f5c078287afdb3803.text,66ba2b1f5c078287afdb3803
Rikka,กระรอกจะกินแมว♡,66ba2b1f5c078287afdb3802.text,66ba2b1f5c078287afdb3802
Voiceless Voice,Awebringer,66ba2b8ad3f348fc66a7c7b4.text,66ba2b8ad3f348fc66a7c7b4
D/D/D,Taro,66ba2b8ad3f348fc66a7c7b5.text,66ba2b8ad3f348fc66a7c7b5
Yubel,DevilR35,66ba2b8ad3f348fc66a7c7b7.text,66ba2b8ad3f348fc66a7c7b7
Raidraptor,GadgetBug,66ba2b8ad3f348fc66a7c7b6.text,66ba2b8ad3f348fc66a7c7b6
Yubel,DevilR35,66ba2e5f9319b780c389d035.text,66ba2e5f9319b780c389d035
Tearlaments,Skreegon,66ba40fdb88527d39dbcb579.text,66ba40fdb88527d39dbcb579
Rikka,Nevard,66ba4ef6afa7f25bbba9f84e.text,66ba4ef6afa7f25bbba9f84e
Rikka,Specter,66ba7088b78ec5543d589c46.text,66ba7088b78ec5543d589c46
Supreme King,Gowtu99,66ba79bd247ea4eeda365ef5.text,66ba79bd247ea4eeda365ef5
Volcanic,FurySlaughter,66ba79bd247ea4eeda365ef1.text,66ba79bd247ea4eeda365ef1
Horus,Barox,66ba79bd247ea4eeda365ef2.text,66ba79bd247ea4eeda365ef2
Yubel,Kräutereule,66ba79bd247ea4eeda365ef3.text,66ba79bd247ea4eeda365ef3
Scareclaw,GreasyGrimester,66ba79bd247ea4eeda365ef4.text,66ba79bd247ea4eeda365ef4
Voiceless Voice,whatever,66ba7a68247ea4eeda3681bf.text,66ba7a68247ea4eeda3681bf
Snake-Eye Fire King,xMirko777x,66ba7a68247ea4eeda3681be.text,66ba7a68247ea4eeda3681be
Warrior Combo,Slayton,66ba966360f89076e51b4333.text,66ba966360f89076e51b4333
Dinos,esccanor,66baae5d2810d37834c095ba.text,66baae5d2810d37834c095ba
Voiceless Voice,starboylj,66babeb677b67740f359d038.text,66babeb677b67740f359d038
Yubel,Bishop_Breloom,66baeabbee33b54673360046.text,66baeabbee33b54673360046
Voiceless Voice,Hamio,66baeb5409ff66061d2ea346.text,66baeb5409ff66061d2ea346
Dinomorphia,lenny,66baeb5409ff66061d2ea341.text,66baeb5409ff66061d2ea341
Ice Barrier,Kylo,66baeb5409ff66061d2ea343.text,66baeb5409ff66061d2ea343
Resonators,ckw81,66baeb5409ff66061d2ea342.text,66baeb5409ff66061d2ea342
Infernoble Knight,Nothiccupcake,66baeb5409ff66061d2ea344.text,66baeb5409ff66061d2ea344
Yubel,Lightning,66baeb5409ff66061d2ea345.text,66baeb5409ff66061d2ea345
Salamangreat,Bellzy,66baf423094b22608d025b53.text,66baf423094b22608d025b53
SPYRAL,RIP,66baf4657780e8ac323d0ae3.text,66baf4657780e8ac323d0ae3
Voiceless Voice,flaners.,66bb08ba09ff66061d320e17.text,66bb08ba09ff66061d320e17
Snake-Eye Fire King,Mordred,66bb09a5006e167cbeb5246e.text,66bb09a5006e167cbeb5246e
Ice Barrier,Kageyami,66bb0a73a1535c82fe31d51d.text,66bb0a73a1535c82fe31d51d
Ghoti,pjim,66bb5475dac1083dfd1e3576.text,66bb5475dac1083dfd1e3576
Stun,maximvhaeren,66bb7076b25b2660a157bf7c.text,66bb7076b25b2660a157bf7c
Swordsoul Tenyi,羊(Sheep),66bb76451376f9f95adcc1f1.text,66bb76451376f9f95adcc1f1
Naturia,Pejabat,66bbb00071935b953372feab.text,66bbb00071935b953372feab
Drytron,Dixcal,66bbddf55580a4f8f110e336.text,66bbddf55580a4f8f110e336
Ursarctic,OstrichChild,66bbddf55580a4f8f110e337.text,66bbddf55580a4f8f110e337
Performapal,WengJoe8789,66bbddf55580a4f8f110e338.text,66bbddf55580a4f8f110e338
Kashtira,iWrangleKittens,66bbde6f98c2ec9288aaecbb.text,66bbde6f98c2ec9288aaecbb
Horus,THE Dad,66bbde7098c2ec9288aaecbc.text,66bbde7098c2ec9288aaecbc
Fur Hire,Kae Deer,66bbde7098c2ec9288aaecbd.text,66bbde7098c2ec9288aaecbd
Labrynth,Meety,66bbde7098c2ec9288aaecbe.text,66bbde7098c2ec9288aaecbe
Thunder Dragon,GadgetBug,66bbdee2689b2aade6360cb4.text,66bbdee2689b2aade6360cb4
Raidraptor,Lolimancer,66bbdee2689b2aade6360cb5.text,66bbdee2689b2aade6360cb5
Labrynth,Juless,66bbdee2689b2aade6360cb6.text,66bbdee2689b2aade6360cb6
Mannadium,イザナギ I Izanagi,66bbdee2689b2aade6360cb7.text,66bbdee2689b2aade6360cb7
Dinos,Playah,66bc0d40c448f537ba00d881.text,66bc0d40c448f537ba00d881
Tearlaments,bedorocksf,66bc0d40c448f537ba00d884.text,66bc0d40c448f537ba00d884
Voiceless Voice,Toush,66bc0d40c448f537ba00d883.text,66bc0d40c448f537ba00d883
Stun,Thunderlight8,66bc0d40c448f537ba00d882.text,66bc0d40c448f537ba00d882
Centur-Ion,Noobboy,66bc188fb4f953f910ed1c15.text,66bc188fb4f953f910ed1c15
Yubel,✧Arlecchino✧Lily,66bc350b67bea4e93429f849.text,66bc350b67bea4e93429f849
Chimera,Silento,66bc350b67bea4e93429f848.text,66bc350b67bea4e93429f848
Labrynth,Juless,66bc357467bea4e9342a11bf.text,66bc357467bea4e9342a11bf
Dinomorphia,lenny,66bc357467bea4e9342a11bd.text,66bc357467bea4e9342a11bd
Voiceless Voice,NightPrimrose,66bc357467bea4e9342a11be.text,66bc357467bea4e9342a11be
Scareclaw,GreasyGrimester,66bc357467bea4e9342a11c0.text,66bc357467bea4e9342a11c0
Mannadium,Noobboy,66bc361e9286af4f77a61589.text,66bc361e9286af4f77a61589
Labrynth,Meety,66bc361e9286af4f77a61588.text,66bc361e9286af4f77a61588
Vanquish Soul,Shini,66bc361e9286af4f77a6158a.text,66bc361e9286af4f77a6158a
Tearlaments,Košutka,66bc7b5d22466e7d76520ca5.text,66bc7b5d22466e7d76520ca5
Ice Barrier,person,66bc7bc75159ddcb2a846207.text,66bc7bc75159ddcb2a846207
Runick Spright,Shevuc,66bc7c6a389fa5565cbf157c.text,66bc7c6a389fa5565cbf157c
Sky Striker,Highwing,66bc7cfb22466e7d76523fe2.text,66bc7cfb22466e7d76523fe2
Voiceless Voice,sylfh,66bc7d8bc446e5f0293cb9f4.text,66bc7d8bc446e5f0293cb9f4
Mekk-Knight Crusadia,Cydver,66bcb1ef2066344c0fefc14f.text,66bcb1ef2066344c0fefc14f
Voiceless Voice,ClownNvRCry,66bcde280f64e99ecc595800.text,66bcde280f64e99ecc595800
Phantom Knights,Tamago,66bcde280f64e99ecc595801.text,66bcde280f64e99ecc595801
Yubel,eiznerf,66bcde280f64e99ecc595802.text,66bcde280f64e99ecc595802
Bystial Runick,Aero,66bcde280f64e99ecc5957ff.text,66bcde280f64e99ecc5957ff
Dinomorphia,The Riva,66bce12a361bfdd5aa31e2fc.text,66bce12a361bfdd5aa31e2fc
Stun,pretends2know,66bce4bd0f64e99ecc5a2d76.text,66bce4bd0f64e99ecc5a2d76
Kashtira,dominick,66bce4fa44ed50f804774e6c.text,66bce4fa44ed50f804774e6c
Vanquish Soul,MrAndAlf,66bd05b25dda37e56ded7be3.text,66bd05b25dda37e56ded7be3
Branded,Darius,66bd0af95209c4f8343e0f58.text,66bd0af95209c4f8343e0f58
Spright,NextQuestion,66bd0af95209c4f8343e0f57.text,66bd0af95209c4f8343e0f57
Labrynth,season,66bd1b04ce3d96500ac49c33.text,66bd1b04ce3d96500ac49c33
Vanquish Soul,Shiroitsuki,66bd1b51ce3d96500ac4b038.text,66bd1b51ce3d96500ac4b038
Galaxy Photon,Kanimize,66bd1c51fde6937d96242f5a.text,66bd1c51fde6937d96242f5a
Tearlaments,med,66bd3fbc7a176f186ab8d523.text,66bd3fbc7a176f186ab8d523
Tearlaments,Jonatico,66bd475b7a176f186ab9b7cd.text,66bd475b7a176f186ab9b7cd
Chimera,nbee,66bd4aeb94beaa3e7dc04981.text,66bd4aeb94beaa3e7dc04981
Raidraptor,pretends2know,66bd4aeb94beaa3e7dc04982.text,66bd4aeb94beaa3e7dc04982
Yubel,PoisonRose,66bd4c4a1ff0478e2472d2d6.text,66bd4c4a1ff0478e2472d2d6
Ice Barrier,Méabhy,66bd4c4b1ff0478e2472d2d7.text,66bd4c4b1ff0478e2472d2d7
Ice Barrier,Angine,66bd8be7ca724ef782e3acc9.text,66bd8be7ca724ef782e3acc9
Phantasm Spiral,iTrevorAllen,66bd8be7ca724ef782e3acca.text,66bd8be7ca724ef782e3acca
Voiceless Voice,Mscizor,66bd8c40ca724ef782e3c644.text,66bd8c40ca724ef782e3c644
Yubel,theamatuer,66bd8c40ca724ef782e3c645.text,66bd8c40ca724ef782e3c645
Resonators,Dess,66bd8c9c41ff9d07a927e019.text,66bd8c9c41ff9d07a927e019
Crystal Beast,Proma,66bd8c9c41ff9d07a927e01a.text,66bd8c9c41ff9d07a927e01a
Ice Barrier,NonamedPleb,66bd8c9c41ff9d07a927e01b.text,66bd8c9c41ff9d07a927e01b
Lunalight,KiTe - Pandemonium,66bd9ae9cb088083103407ca.text,66bd9ae9cb088083103407ca
Centur-Ion,charizap,66bd9b4f3d62d3210fc378a9.text,66bd9b4f3d62d3210fc378a9
Rikka,Audina_Puzzle,66bd9b8e3d62d3210fc38c87.text,66bd9b8e3d62d3210fc38c87
Floowandereeze,Mr.Darus,66bda05a41ff9d07a92a6c69.text,66bda05a41ff9d07a92a6c69
Floowandereeze,Smitejr,66bda09241ff9d07a92a7eb1.text,66bda09241ff9d07a92a7eb1
Ice Barrier,JackTorrance,66bda0ce41ff9d07a92a9342.text,66bda0ce41ff9d07a92a9342
HEROs,Gustavson1,66bda10241ff9d07a92aa585.text,66bda10241ff9d07a92aa585
Ghoti,QuirkyEar,66bda13f41ff9d07a92ab9f9.text,66bda13f41ff9d07a92ab9f9
Ghoti,EdwinAW_14,66bda1ae41ff9d07a92acf7d.text,66bda1ae41ff9d07a92acf7d
Stun,vejeya,66bdc6435f171f932144ac33.text,66bdc6435f171f932144ac33
Ice Barrier,flaners.,66bdc6d14ad32d01c9d85b53.text,66bdc6d14ad32d01c9d85b53
Majespecter,Minearm,66bdc7839b73ac19f46e6907.text,66bdc7839b73ac19f46e6907
Icejade,Claymizer,66bdc7f99b73ac19f46e80e1.text,66bdc7f99b73ac19f46e80e1
Ice Barrier,Angelo101,66bdc8aa9b73ac19f46e9e41.text,66bdc8aa9b73ac19f46e9e41
Marincess,Toxic,66bdc9c35f171f93214516ef.text,66bdc9c35f171f93214516ef
Sky Striker,Smol,66bdcad1f597e59b7b9d7c20.text,66bdcad1f597e59b7b9d7c20
Floowandereeze,Sleepy Memory,66bdcbbd4ad32d01c9d8df5a.text,66bdcbbd4ad32d01c9d8df5a
Marincess,Drew,66bdcd263b99c063d8825016.text,66bdcd263b99c063d8825016
Marincess,Fer ✰,66bdce043b99c063d88271e8.text,66bdce043b99c063d88271e8
Floowandereeze,Sandbagimon,66bdcf0c3b99c063d88299c7.text,66bdcf0c3b99c063d88299c7
Phantasm Spiral,Yagyuu Yuujou,66bdd0833b99c063d882d025.text,66bdd0833b99c063d882d025
Ice Barrier,Arnastria,66bdd247f3145d2facacb60a.text,66bdd247f3145d2facacb60a
Shark,Salamangreatest,66bdd333fd0e3f1a70bb9245.text,66bdd333fd0e3f1a70bb9245
Floowandereeze,KosmannewO,66bdd43d4ad32d01c9d9dd9e.text,66bdd43d4ad32d01c9d9dd9e
Floowandereeze,whatever,66bde7d1c0be3dc88adf253e.text,66bde7d1c0be3dc88adf253e
Marincess,Seeks,66bde9d28ec07f75b0270a12.text,66bde9d28ec07f75b0270a12
Paleozoic,Arse,66bdec3bd4b73bec0af83ce4.text,66bdec3bd4b73bec0af83ce4
Speedroid,Tenpai dragon zhongdora,66bdeeb971990d3301b0bd58.text,66bdeeb971990d3301b0bd58
Ice Barrier,cen,66bdf47f71990d3301b17fb2.text,66bdf47f71990d3301b17fb2
Ghoti,Elypse201,66bdfcd0e46e33e3e5a64b93.text,66bdfcd0e46e33e3e5a64b93
Armed Dragon,Raitachi,66bdfe058c4d7b6261e4acec.text,66bdfe058c4d7b6261e4acec
Rikka,Kanzaki,66be0166ad8fbf065443e086.text,66be0166ad8fbf065443e086
Phantasm Spiral,Esquivar,66be04e10d40ef6c405ef389.text,66be04e10d40ef6c405ef389
Marincess,MrVeritas,66be06d48c4d7b6261e5f72e.text,66be06d48c4d7b6261e5f72e
Ancient Warriors,Synchroun,66be0ddc159176c2ec922a39.text,66be0ddc159176c2ec922a39
Ice Barrier,Cesetci,66be0ddc159176c2ec922a38.text,66be0ddc159176c2ec922a38
Shark,Reijus,66be1858a05a4c092b5b2cd2.text,66be1858a05a4c092b5b2cd2
Marincess,RealmHeart,66be1858a05a4c092b5b2cd1.text,66be1858a05a4c092b5b2cd1
